#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
83762	Y	DDB_G0295789	putative transmembrane protein			35.9294
83763	Y	DDB_G0285735				33.9086
83769	Y	DDB_G0279231			"SMC_Nse1, CYTOCHROME_C"	35.4294
83775	Y	fgeneshDP_pg.C_scaffold_403000008				35.7782
83777	Y	snrpB2	U2 small nuclear ribonucleoprotein B	nucleic acid binding	"RRM_1, RRM, RRM, RRM_RNP_1"	35.7653
83785	Y	fgeneshDP_pg.C_scaffold_404000006				12.1369
83788	Y	pcp	paracaspase	proteolysis and peptidolysis | caspase activity	Peptidase_C14	30.5974
83789	Y	fgeneshDP_pg.C_scaffold_404000010				35.7472
83830	Y	fgeneshDP_pg.C_scaffold_409000001			PRICHEXTENSN	15.0439
83841	Y	DDB_G0272272			LEURICHRPT	32.3071
83851	Y	DDB_G0289195	"arginase/agmatinase/formiminoglutamase family protein, putative arginase, putative arginine deaminase"	catalytic activity	ARGINASE_2	35.283
83852	Y	DDB_G0272214				34.9392
83855	Y	omt3	methyltransferase type 12 domain-containing protein	"rRNA (adenine-N6,N6-)-dimethyltransferase activity | C-terminal protein carboxyl methyltransferase activity | methyltransferase activity | C-methyltransferase activity | N-methyltransferase activity | O-methyltransferase activity | S-methyltransferase activity | RNA methyltransferase activity | mRNA methyltransferase activity | tRNA methyltransferase activity | protein methyltransferase activity | site-specific DNA-methyltransferase (cytosine-specific) activity | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity | rRNA methyltransferase activity | rRNA (uridine-2'-O-)-methyltransferase activity | S-adenosylmethionine-dependent methyltransferase activity | DNA-methyltransferase activity | rRNA (cytosine-C5-967)-methyltransferase activity | selenocysteine methyltransferase activity | arginine N-methyltransferase activity | protein-arginine N-methyltransferase activity | lysine N-methyltransferase activity | protein-lysine N-methyltransferase activity | tRNA (uracil) methyltransferase activity |"	"MET_TRANS, SAM_BIND"	35.1337
83862	Y	fgeneshDP_pg.C_scaffold_412000002				32.7038
83872	Y	DDB_G0288447				28.2477
83874	Y	fgeneshDP_pg.C_scaffold_413000004				34.6844
83875	Y	fgeneshDP_pg.C_scaffold_413000005				34.0456
83879	Y	fgeneshDP_pg.C_scaffold_414000001				30.0196
83880	Y	DDB_G0276843				33.8421
83881	Y	DDB_G0276845				35.9338
83888	Y	fgeneshDP_pg.C_scaffold_415000001				4.40746
83889	Y	DDB_G0282867				7.66152
83890	Y	fgeneshDP_pg.C_scaffold_415000003				3.74473
83891	Y	fgeneshDP_pg.C_scaffold_415000004				7.74745
83893	Y	fgeneshDP_pg.C_scaffold_415000006				28.7468
83900	Y	plrg1	"WD40 repeat-containing protein, putative RNA splicing factor"	1-alkyl-2-acetylglycerophosphocholine esterase activity	"sp_Q9VYQ9_DROME_Q9VYQ9;, GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	35.9075
83904	Y	fgeneshDP_pg.C_scaffold_416000005				11.8258
83906	Y	fgeneshDP_pg.C_scaffold_416000007				18.5133
83907	Y	fgeneshDP_pg.C_scaffold_416000008				16.1674
83909	Y	fgeneshDP_pg.C_scaffold_416000010		cysteine-type endopeptidase activity | ubiquitin thiolesterase activity | ubiquitin-protein ligase activity | proteolysis and peptidolysis | ubiquitin-dependent protein catabolism | cysteine-type peptidase activity	"UCH, Peptidase_C48, UCH_2_3, ULP_PROTEASE"	24.842
83910	Y	fgeneshDP_pg.C_scaffold_417000001				0.605891
83915	Y	fgeneshDP_pg.C_scaffold_417000006				7.28994
83923	Y	DDB_G0291496		RNA binding | ribonuclease III activity | RNA processing	RNASE_3_2	35.0786
83925	Y	fgeneshDP_pg.C_scaffold_419000002			LEURICHRPT	26.3489
83930	Y	wdr5	WD40 repeat-containing protein	1-alkyl-2-acetylglycerophosphocholine esterase activity | signal transducer activity | heterotrimeric G-protein complex | G-protein coupled receptor protein signaling pathway	"sp_Q9M2Z2_ARATH_Q9M2Z2;, GPROTEINB, GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	35.8205
83936	Y	DDB_G0288477				34.7019
83938	Y	rft1				18.0666
83939	Y	DDB_G0275571	Arf GTPase activating protein			32.4532
83944	Y	cstf2	"RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein, cleavage stimulation factor 64 kDa subunit"		Pentapeptide_2	29.111
83953	Y	fgeneshDP_pg.C_scaffold_422000005			MITOCH_CARRIER	35.9568
83965	Y	fgeneshDP_pg.C_scaffold_423000010				23.4884
83973	Y	DDB_G0283057	"RapGAP/RanGAP domain-containing protein, putative RapGAP"		"Rap_GAP, RAPGAP"	35.6411
83976	Y	fgeneshDP_pg.C_scaffold_425000001		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		7.38509
83977	Y	DDB_G0277665				31.2573
83982	Y	DDB_G0277469				32.1109
83983	Y	fgeneshDP_pg.C_scaffold_425000008		N-acetyltransferase activity	Acetyltransf_1	35.8123
83985	Y	fgeneshDP_pg.C_scaffold_425000010		N-acetyltransferase activity	Acetyltransf_1	32.5694
83999	Y	DDB_G0268902		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | protein binding | ATP binding | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity | cellular protein metabolism	"TCOMPLEXTCP1, Cpn60_TCP1, TCP1_1"	30.1755
84000	Y	utp20	"DRIM domain-containing protein, HEAT repeat-containing protein, U3 small nucleolar ribonucleoprotein, U3 snoRNP protein"	ubiquitin-protein ligase activity	"DRIM, HEAT_REPEAT, CRYSTALLIN_BETAGAMMA"	35.2915
84008	Y	DDB_G0279373	"CHE group protein, SNF5/SMARCB1/INI1 family protein"	nuclear chromosome | chromatin remodeling	SNF5	33.4983
84023	Y	fgeneshDP_pg.C_scaffold_430000009		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, Kelch_1, ZF_RING_2, ZF_RING_1"	30.3758
84044	Y	fgeneshDP_pg.C_scaffold_433000002				14.8836
84045	Y	fgeneshDP_pg.C_scaffold_433000003			"OTU, OTU"	1.72363
84048	Y	fgeneshDP_pg.C_scaffold_433000006		"uracil DNA N-glycosylase activity | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"		32.8128
84050	Y	DDB_G0292258				24.7466
84055	Y	DDB_G0276227	"ADP-ribosylation factor-related, Rab GTPase"	"diacylglycerol pyrophosphate phosphatase activity | thiamin-pyrophosphatase activity | GTP binding | intracellular protein transport | small GTPase mediated signal transduction | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | protein transport | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"	"LEURICHRPT, RASTRNSFRMNG, Ras, LRR, RAS, RHO, RAB, RAN, LRR_RI, small_GTP, LRR_RI"	33.5939
84058	Y	fgeneshDP_pg.C_scaffold_434000009				9.19929
84060	Y	fgeneshDP_pg.C_scaffold_434000011				10.2933
84068	Y	DDB_G0282187				34.878
84071	Y	fgeneshDP_pg.C_scaffold_436000003				35.7241
8408	Y	DDB_G0275289	"cell differentiation family,  Rcd1-like protein"		Rcd1	35.9017
84086	Y	fgeneshDP_pg.C_scaffold_437000007				19.9982
84089	Y	fgeneshDP_pg.C_scaffold_437000010				13.1456
84090	Y	fgeneshDP_pg.C_scaffold_438000001		DNA ligase (ATP) activity		30.0042
84097	Y	DDB_G0268114				35.5471
84105	Y	DDB_G0272909				33.6386
84109	Y	fgeneshDP_pg.C_scaffold_439000010		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	17.2333
84113	Y	DDB_G0276131	unknown			34.069
84123	Y	fgeneshDP_pg.C_scaffold_441000002			"LRR, FNIP"	22.4667
84133	Y	upf1	"helicase, regulator of nonsense transcripts 1, up-frameshift suppressor 1"			32.5747
84141	Y	fgeneshDP_pg.C_scaffold_444000004		catalytic activity | fatty acid biosynthesis | metabolism | methyltransferase activity | zinc ion binding | S-adenosylmethionine-dependent methyltransferase activity | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MET_TRANS, SAM_BIND"	8.16961
84142	Y	DDB_G0288949			TBC_RABGAP	34.871
84146	Y	fgeneshDP_pg.C_scaffold_445000005		nucleic acid binding	"C2HCZNFINGER, zf-CCHC, ZnF_C2HC, ZF_CCHC"	0.000838926
84149	Y	fgeneshDP_pg.C_scaffold_445000008				3.62249
84150	Y	fgeneshDP_pg.C_scaffold_446000001		"diacylglycerol pyrophosphate phosphatase activity | thiamin-pyrophosphatase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"		0.0959716
84152	Y	fgeneshDP_pg.C_scaffold_446000003				10.3385
84156	Y	fgeneshDP_pg.C_scaffold_446000007			WD_REPEATS_1	35.5268
84157	Y	fgeneshDP_pg.C_scaffold_446000008		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		34.8034
84166	Y	fgeneshDP_pg.C_scaffold_447000007				32.6881
84167	Y	fgeneshDP_pg.C_scaffold_447000008		diacylglycerol kinase activity		30.0695
84168	Y	DDB_G0280383			CRYSTALLIN_BETAGAMMA	35.3434
8417	Y	DDB_G0285839				35.9621
84170	Y	fgeneshDP_pg.C_scaffold_448000003				21.3204
84171	Y	fgeneshDP_pg.C_scaffold_448000004		subtilase activity | proteolysis and peptidolysis	SUBTILASE_ASP	27.6187
84176	Y	DDB_G0274277				25.1615
84186	Y	fgeneshDP_pg.C_scaffold_449000011			MinE	33.7609
84188	Y	fgeneshDP_pg.C_scaffold_449000013				35.81
84200	Y	fgeneshDP_pg.C_scaffold_451000005				24.7514
84206	Y	gins1	GINS complex subunit 1		"sp_Q9W0I7_DROME_Q9W0I7;, Psf1,  Uncharacterised conserved protein UCP025016"	35.7314
84210	Y	fgeneshDP_pg.C_scaffold_453000003		1-phosphatidylinositol-4-phosphate kinase | 1-phosphatidylinositol-4-phosphate 5-kinase activity	"PIP5K, PIPKc"	4.4416
84213	Y	fgeneshDP_pg.C_scaffold_453000006				3.71281
84221	Y	fgeneshDP_pg.C_scaffold_454000006			CRYSTALLIN_BETAGAMMA	32.3978
84227	Y	fgeneshDP_pg.C_scaffold_455000003		ubiquitin ligase complex | 1-phosphatidylinositol 4-kinase activity | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	30.5358
84229	Y	DDB_G0273515				30.7935
84230	Y	fgeneshDP_pg.C_scaffold_455000006		actin binding | intracellular	"sp_Q86KI6_DICDI_Q86KI6;, SH3DOMAIN, SH3_1, SH3_2, ADF, SH3, SH3"	29.8187
8425	Y	DDB_G0274505			"GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	35.9638
84250	Y	selD	"selenide water dikinase, selenophosphate synthase"	"selenide, water dikinase activity | ATP binding"	"AIRS_C, selD"	35.9124
84256	Y	fgeneshDP_pg.C_scaffold_458000005				10.3415
84257	Y	fgeneshDP_pg.C_scaffold_458000006				7.12144
84259	Y	fgeneshDP_pg.C_scaffold_458000008				29.8991
84262	Y	fgeneshDP_pg.C_scaffold_458000011				35.0932
84266	Y	fgeneshDP_pg.C_scaffold_459000004				35.6908
84267	Y	fgeneshDP_pg.C_scaffold_459000005			"SapB_2, SAPB, SAP_B"	32.7621
84270	Y	fgeneshDP_pg.C_scaffold_459000008				17.162
84272	Y	DDB_G0271838	Similar to Dictyostelium discoideum (Slime mold). protein-tyrosine phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase 3).	"uracil DNA N-glycosylase activity | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"		34.5461
84273	Y	DDB_G0271840				35.9091
84282	Y	fgeneshDP_pg.C_scaffold_461000006			"OTU, OTU"	15.8481
84286	Y	fgeneshDP_pg.C_scaffold_462000003				5.527
84288	Y	fgeneshDP_pg.C_scaffold_462000005				6.92857
84302	Y	DDB_G0275529	CG5792 PROTEIN. 6/101		"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	31.082
84303	Y	DDB_G0277625	Similar to Dictyostelium discoideum (Slime mold). prespore-specific protein.		DUF202	12.8121
84313	Y	fgeneshDP_pg.C_scaffold_466000002				33.4026
84314	Y	fgeneshDP_pg.C_scaffold_466000003				23.7912
84315	Y	fgeneshDP_pg.C_scaffold_466000004		"transcription factor activity | nucleus | regulation of transcription, DNA-dependent"	"GATAZNFINGER, GATA, ZnF_GATA, GATA_ZN_FINGER_2"	34.7956
84316	Y	fgeneshDP_pg.C_scaffold_466000005				7.3519
84317	Y	fgeneshDP_pg.C_scaffold_466000006				11.5345
84319	Y	fgeneshDP_pg.C_scaffold_466000008		nucleic acid binding | nucleus | zinc ion binding	ZINC_FINGER_C2H2_1	0.000917431
84320	Y	fgeneshDP_pg.C_scaffold_466000009				37.4667
84321	Y	fgeneshDP_pg.C_scaffold_467000001				2.67571
84322	Y	fgeneshDP_pg.C_scaffold_467000002				10.8049
84323	Y	fgeneshDP_pg.C_scaffold_467000003				8.99355
84324	Y	fgeneshDP_pg.C_scaffold_467000004		ubiquitin ligase complex | ribonuclease III activity | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	6.99806
84326	Y	fgeneshDP_pg.C_scaffold_467000006				9.07317
84328	Y	DDB_G0292698	"RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein"	nucleic acid binding	"RRM_1, RRM, RRM, RRM_RNP_1"	35.8545
84333	Y	sgmD	putative sphingomyelinase	cyclic-nucleotide phosphodiesterase activity | cAMP-specific phosphodiesterase activity | cGMP-specific phosphodiesterase activity | calmodulin-dependent cyclic-nucleotide phosphodiesterase activity | cGMP-stimulated cyclic-nucleotide phosphodiesterase activity | cGMP-inhibited cyclic-nucleotide phosphodiesterase activity | photoreceptor cyclic-nucleotide phosphodiesterase activity | inositol or phosphatidylinositol phosphodiesterase activity | photoreceptor cyclic-nucleotide phosphodiesterase complex | phosphoric diester hydrolase activity		35.8942
84337	Y	fgeneshDP_pg.C_scaffold_469000002				31.1814
84345	Y	DDB_G0267818		ubiquitin-protein ligase activity		29.9993
84348	Y	DDB_G0267876				35.1257
84349	Y	fgeneshDP_pg.C_scaffold_470000007		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		32.6812
84356	Y	DDB_G0283837	"ADF/cofilin-like domain-containing protein, putative actin binding protein"	ubiquitin-protein ligase activity		35.5133
84363	Y	fgeneshDP_pg.C_scaffold_472000004				0.00289017
84366	Y	fgeneshDP_pg.C_scaffold_473000001		response to antibiotic	Beta-lactamase	34.8484
84371	Y	fgeneshDP_pg.C_scaffold_473000006		"monooxygenase activity | electron transport | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen | fluorene oxygenase activity | mono-butyltin dioxygenase activity | limonene 8-monooxygenase activity | tri-n-butyltin dioxygenase activity | di-n-butyltin dioxygenase activity | methylsilanetriol hydroxylase activity | methyl tertiary butyl ether 3-monooxygenase activity | 4-nitrocatechol 4-monooxygenase activity | 4-chlorophenoxyacetate monooxygenase activity | tert-butyl alcohol 2-monooxygenase activity | alpha-pinene monooxygenase activity | dimethylsilanediol hydroxylase activity | ammonia monooxygenase activity | hydroxymethylsilanetriol oxidase activity | 2-hydroxyisobutyrate 3-monooxygenase activity | alpha-pinene dehydrogenase activity | 4-nitrophenol 2-monooxygenase activity"	"P450, EP450I, p450, CYTOCHROME_P450"	34.6601
84383	Y	fgeneshDP_pg.C_scaffold_475000001		GTP binding	"GTP1OBG, MMR_HSR1, MG442"	0.637795
84389	Y	fgeneshDP_pg.C_scaffold_475000007				35.6936
84391	Y	DDB_G0271124		ubiquitin-protein ligase activity		31.3282
84392	Y	DDB_G0287111	unknown			29.4073
84395	Y	fgeneshDP_pg.C_scaffold_476000004				33.9012
84396	Y	fgeneshDP_pg.C_scaffold_476000005		copper ion binding	COPPER_AMINE_OXID_1	32.6683
84399	Y	fgeneshDP_pg.C_scaffold_477000001				30.6468
84421	Y	DDB_G0289905		protein modification	"ubiquitin, UBIQUITIN_2"	35.5138
84424	Y	fgeneshDP_pg.C_scaffold_480000001		phospholipid-translocating ATPase activity	"PH, PH, PH_DOMAIN"	28.3822
84429	Y	fgeneshDP_pg.C_scaffold_480000006				26.2262
84430	Y	fgeneshDP_pg.C_scaffold_480000007				32.6037
84432	Y	fgeneshDP_pg.C_scaffold_480000009				32.3486
84434	Y	fgeneshDP_pg.C_scaffold_481000002				12.7015
84438	Y	fgeneshDP_pg.C_scaffold_481000006				33.673
84439	Y	fgeneshDP_pg.C_scaffold_481000007			"EGF_1, EGF_2"	31.2614
84449	Y	fgeneshDP_pg.C_scaffold_483000001				0.00044603
84454	Y	DDB_G0291131		myosin ATPase activity	"sp_Q9GPS9_DICDI_Q9GPS9;, SH3DOMAIN, P67PHOX, SH3_1, SH3_2, SH3, SH3"	35.1743
84457	Y	fgeneshDP_pg.C_scaffold_483000009				7.46208
84468	Y	DDB_G0292450		ubiquitin-protein ligase activity		34.1703
84478	Y	DDB_G0277347	Similar to Fusobacterium nucleatum (Subsp. nucleatum). methionyl-tRNA formyltransferase (EC 2.1.2.9).	"methionyl-tRNA formyltransferase activity | biosynthesis | hydroxymethyl-, formyl- and related transferase activity"	Formyl_trans_N	19.4369
84481	Y	hibA	3-hydroxyisobutyrate dehydrogenase	phosphogluconate dehydrogenase (decarboxylating) activity | pentose-phosphate shunt | 3-hydroxyisobutyrate dehydrogenase activity	"NAD_binding_2, HIBADH"	35.9259
84489	Y	DDB_G0272532		ubiquitin-protein ligase activity		25.5678
84494	Y	fgeneshDP_pg.C_scaffold_489000001		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		26.3211
84511	Y	fgeneshDP_pg.C_scaffold_491000001		double-stranded RNA binding | ribonuclease III activity | intracellular	"dsrm, DSRM, DS_RBD"	29.8798
84515	Y	osbD	"oxysterol binding family protein,  member 4"	steroid metabolism	Oxysterol_BP	35.3904
84523	Y	fgeneshDP_pg.C_scaffold_493000001			"OTU, OTU"	3.28637
84524	Y	fgeneshDP_pg.C_scaffold_493000002				3.63003
84525	Y	fgeneshDP_pg.C_scaffold_493000003				12.3974
84529	Y	fgeneshDP_pg.C_scaffold_493000007				8.66762
84536	Y	fgeneshDP_pg.C_scaffold_495000001				27.5244
84538	Y	DDB_G0291782		ubiquitin-protein ligase activity		35.5006
84540	Y	DDB_G0278269	NAP (nucleosome assembly protein) family protein	nucleus | nucleosome assembly	NAP	30.4019
84542	Y	fgeneshDP_pg.C_scaffold_495000007				28.5559
84547	Y	DDB_G0277065	AgCP6757 (Fragment).		"La, DM15, LA"	34.5609
84548	Y	fgeneshDP_pg.C_scaffold_496000003				17.4753
84550	Y	DDB_G0281637	SAP DNA-binding domain-containing protein	DNA binding	SAP	24.5845
84552	Y	fgeneshDP_pg.C_scaffold_497000001				8.5
84556	Y	fgeneshDP_pg.C_scaffold_497000005				17.0846
84561	Y	fgeneshDP_pg.C_scaffold_498000004				35.4282
84563	Y	fgeneshDP_pg.C_scaffold_498000006				35.1191
84565	Y	fgeneshDP_pg.C_scaffold_499000002		1-phosphatidylinositol 4-kinase activity		14.8132
84566	Y	fgeneshDP_pg.C_scaffold_499000003				0.51487
84567	Y	fgeneshDP_pg.C_scaffold_499000004				1.10033
84569	Y	fgeneshDP_pg.C_scaffold_499000006				1.36788
84570	Y	fgeneshDP_pg.C_scaffold_499000007				4.99832
84572	Y	fgeneshDP_pg.C_scaffold_500000002				33.8254
84579	Y	fgeneshDP_pg.C_scaffold_501000001				6.66964
84585	Y	DDB_G0294587	unknown			32.8288
84586	Y	DDB_G0285281				35.8676
84589	Y	fgeneshDP_pg.C_scaffold_502000004			"SEL1, TPR_REPEAT, TPR_REGION"	33.097
84596	Y	gxcT	"C2H2-type zinc finger-containing protein, IQ calmodulin-binding domain-containing protein, RhoGEF domain-containing protein, pleckstrin homology (PH) domain-containing protein"	nucleic acid binding | guanyl-nucleotide exchange factor activity | nucleus | intracellular signaling cascade | zinc ion binding	"PH, IQ, RhoGEF, IQ, PH, RhoGEF, PH_DOMAIN, DH_2, IQ, ZINC_FINGER_C2H2_1, DH_1"	35.4157
84597	Y	fgeneshDP_pg.C_scaffold_504000001				26.6568
84601	Y	fgeneshDP_pg.C_scaffold_504000005			Resolvase-like	29.4089
84602	Y	fgeneshDP_pg.C_scaffold_504000006				16.4461
84604	Y	fgeneshDP_pg.C_scaffold_505000002		protein kinase activity | protein serine/threonine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q9VL64_DROME_Q9VL64;, S_TKc, PROTEIN_KINASE_DOM"	32.0185
84605	Y	fgeneshDP_pg.C_scaffold_505000003				35.1222
84613	Y	DDB_G0274801	Similar to Homo sapiens (Human). mucin 2 (Intestinal mucin 2).			33.4236
84618	Y	DDB_G0274533			EGF_1	33.562
84621	Y	fgeneshDP_pg.C_scaffold_508000001				11.0648
84625	Y	fgeneshDP_pg.C_scaffold_508000005				13.938
84633	Y	DDB_G0292166				34.4305
84657	Y	DDB_G0268224	DDT domain-containing protein	1-phosphatidylinositol-3-phosphate 5-kinase activity		33.3127
84673	Y	DDB_G0291612				32.9663
84678	Y	fgeneshDP_pg.C_scaffold_517000003		extracellular region	PR-1-like	34.9784
84681	Y	DDB_G0283591				35.8933
84686	Y	fgeneshDP_pg.C_scaffold_519000001				35.862
84687	Y	fgeneshDP_pg.C_scaffold_519000002				31.4889
84688	Y	DDB_G0287379	"RabGAP/TBC domain-containing protein, ankyrin repeat-containing protein, putative GTPase activating protein (GAP)"		"ANKYRIN, Ank, TBC, TBC, ANK, TBC_RABGAP, ANK_REPEAT, ANK_REP_REGION"	32.3748
84689	Y	DDB_G0287331	At1g03160.			35.8017
84697	Y	fgeneshDP_pg.C_scaffold_520000007				0.0158371
84698	Y	fgeneshDP_pg.C_scaffold_521000001				11.7629
84699	Y	DDB_G0267864				16.0814
84702	Y	fgeneshDP_pg.C_scaffold_521000005		"ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity | protein ubiquitination | acid-amino acid ligase activity | ribosomal S6-glutamic acid ligase activity"	"IBR, RING, IBR, ZF_RING_2, ZF_RING_1"	35.9435
84703	Y	DDB_G0286365		ubiquitin-protein ligase activity	CRYSTALLIN_BETAGAMMA	27.854
84709	Y	fgeneshDP_pg.C_scaffold_522000006		protein binding | protein folding | prefoldin complex	Prefoldin	31.3547
84711	Y	fgeneshDP_pg.C_scaffold_523000001				0.67064
84712	Y	fgeneshDP_pg.C_scaffold_523000002		exo-alpha-sialidase activity		14.0062
84713	Y	fgeneshDP_pg.C_scaffold_523000003		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	5.13802
84714	Y	fgeneshDP_pg.C_scaffold_523000004				16.8093
84725	Y	DDB_G0282823			"TPR, TPR, TPR_REPEAT, TPR_REGION"	34.9868
84728	Y	fgeneshDP_pg.C_scaffold_525000008				35.1576
84741	Y	DDB_G0281877	Similar to Homo sapiens (Human). KIAA0939 protein.	sodium ion transport | regulation of pH | solute:hydrogen antiporter activity | sodium:hydrogen antiporter activity | integral to membrane	"NAHEXCHNGR, Na_H_Exchanger, b_cpa1"	32.1266
84751	Y	fgeneshDP_pg.C_scaffold_529000004			EGF_1	4.57547
84754	Y	DDB_G0286749		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | transporter activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | transport | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity | integral to membrane	MFS	33.5273
84756	Y	DDB_G0286361		nucleic acid binding | ribonuclease III activity | nucleus | zinc ion binding	"zf-U1, ZnF_U1, ZF_MATRIN, ZINC_FINGER_C2H2_1"	30.3718
84762	Y	fgeneshDP_pg.C_scaffold_531000003				35.4415
84764	Y	fgeneshDP_pg.C_scaffold_531000005				19.7011
84765	Y	fgeneshDP_pg.C_scaffold_531000006				35.9498
8477	Y	apnB	"putative DNA-(apurinic or apyrimidinic site) lyase, putative endonuclease III"	DNA binding | DNA-(apurinic or apyrimidinic site) lyase activity | endonuclease activity | DNA repair | base-excision repair	"HHH, HhH-GPD, ENDO3c, ENDONUCLEASE_III_1"	0.98017
84776	Y	DDB_G0292646		"diacylglycerol pyrophosphate phosphatase activity | thiamin-pyrophosphatase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"		23.3936
84777	Y	fgeneshDP_pg.C_scaffold_533000007		"uracil DNA N-glycosylase activity | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"		25.8419
84782	Y	psmD12	"26S proteasome non-ATPase regulatory subunit 12, 26S proteasome regulatory subunit p55"	threonine endopeptidase activity | proteasome endopeptidase activity	"PCI, PINT, PCI_DOMAIN"	35.4729
